Date,Open,High,Low,Close,Adj Close,Volume
2023-05-22,14.050000,15.040000,13.830000,14.780000,14.780000,8156500
2023-05-23,14.710000,15.160000,14.510000,14.830000,14.830000,5037000
2023-05-24,14.530000,14.530000,13.630000,13.800000,13.800000,5806700
2023-05-25,13.990000,14.190000,13.510000,13.550000,13.550000,3829300
2023-05-26,13.520000,14.090000,13.350000,13.990000,13.990000,5231900
2023-05-30,14.160000,14.350000,13.715000,13.950000,13.950000,4420400
2023-05-31,13.800000,14.065000,13.550000,13.720000,13.720000,3277100
2023-06-01,13.750000,14.270000,13.410000,13.960000,13.960000,3916300
2023-06-02,14.380000,14.650000,14.125000,14.420000,14.420000,5813000
2023-06-05,14.250000,14.525000,14.040000,14.180000,14.180000,2543200
2023-06-06,14.000000,15.385000,13.900000,15.120000,15.120000,6448200
2023-06-07,15.310000,15.910000,15.140000,15.780000,15.780000,9889800
2023-06-08,15.810000,15.860000,15.050000,15.210000,15.210000,6643600
2023-06-09,15.150000,15.320000,14.780000,15.140000,15.140000,7231400
2023-06-12,15.290000,16.969999,15.135000,16.850000,16.850000,11553500
2023-06-13,17.129999,17.855000,16.855000,17.660000,17.660000,9176300
2023-06-14,17.709999,17.969999,16.790001,16.850000,16.850000,6150400
2023-06-15,16.459999,17.430000,16.170000,17.340000,17.340000,6522300
2023-06-16,17.680000,17.680000,16.809999,17.160000,17.160000,4691000
2023-06-20,16.990000,17.150000,16.270000,16.870001,16.870001,6129400
2023-06-21,16.730000,16.920000,16.225000,16.500000,16.500000,2993600
2023-06-22,16.320000,16.410000,15.830000,16.230000,16.230000,3191200
2023-06-23,15.980000,15.980000,15.400000,15.440000,15.440000,6268000
2023-06-26,15.390000,15.920000,15.310000,15.510000,15.510000,2114200
2023-06-27,15.740000,15.990000,15.525000,15.990000,15.990000,3136000
2023-06-28,15.980000,16.780001,15.930000,16.180000,16.180000,3486200
2023-06-29,16.160000,16.840000,16.059999,16.250000,16.250000,3705500
2023-06-30,16.420000,16.490000,16.150000,16.350000,16.350000,3258100
2023-07-03,16.520000,16.809999,16.215000,16.320000,16.320000,1264800
2023-07-05,16.150000,16.559999,15.830000,16.250000,16.250000,2601000
2023-07-06,16.000000,16.010000,15.130000,15.550000,15.550000,3241300
2023-07-07,16.115000,17.120001,15.910000,16.690001,16.690001,4705600
2023-07-10,16.415001,17.379999,16.400000,17.370001,17.370001,2834800
2023-07-11,17.450001,17.799999,17.190001,17.670000,17.670000,3506000
2023-07-12,18.049999,18.059999,17.549999,17.590000,17.590000,2906500
2023-07-13,17.900000,18.290001,17.715000,17.930000,17.930000,3648500
2023-07-14,18.040001,18.639999,17.375000,17.590000,17.590000,3833500
2023-07-17,17.690001,18.705000,17.549999,18.420000,18.420000,4039900
2023-07-18,18.430000,18.760000,17.834999,18.200001,18.200001,5204900
2023-07-19,18.420000,18.684999,17.684999,17.770000,17.770000,3598700
2023-07-20,17.600000,17.725000,17.285000,17.389999,17.389999,4123700
2023-07-21,17.600000,17.639999,17.094999,17.570000,17.570000,2953300
2023-07-24,17.700001,18.080000,17.400999,17.799999,17.799999,2992000
2023-07-25,17.600000,17.799999,17.280001,17.450001,17.450001,3470400
2023-07-26,17.250000,18.200001,17.100000,17.889999,17.889999,4616500
2023-07-27,18.129999,18.200001,17.073000,17.280001,17.280001,2979300
2023-07-28,17.690001,17.790001,17.360001,17.360001,17.360001,1886900
2023-07-31,17.559999,18.160000,17.549999,17.860001,17.860001,3303100
2023-08-01,17.600000,17.809999,17.360001,17.670000,17.670000,1769000
2023-08-02,17.110001,17.138000,16.209999,16.770000,16.770000,4504900
2023-08-03,16.600000,16.950001,16.465000,16.570000,16.570000,4364000
2023-08-04,16.100000,17.110001,15.680000,15.880000,15.880000,4467700
2023-08-07,15.700000,15.815000,15.150000,15.720000,15.720000,3675600
2023-08-08,15.250000,15.770000,15.020000,15.760000,15.760000,3247500
2023-08-09,15.850000,16.240000,15.490000,15.570000,15.570000,2143100
2023-08-10,15.340000,15.741000,14.860000,14.970000,14.970000,3825400
2023-08-11,14.880000,15.100000,14.770000,15.060000,15.060000,2109800
2023-08-14,14.910000,15.640000,14.730000,15.470000,15.470000,2322400
2023-08-15,15.260000,15.360000,14.790000,14.810000,14.810000,3347400
2023-08-16,14.740000,15.050000,14.590000,14.610000,14.610000,2789300
2023-08-17,14.640000,14.815000,14.410000,14.450000,14.450000,2356300
2023-08-18,14.130000,14.825000,14.080000,14.490000,14.490000,2559600
2023-08-21,14.470000,14.635000,14.115000,14.420000,14.420000,2386400
2023-08-22,14.670000,14.700000,14.055000,14.260000,14.260000,1804100
2023-08-23,14.060000,14.860000,13.950000,14.680000,14.680000,3001900
2023-08-24,14.710000,14.750000,14.230000,14.350000,14.350000,1903700
2023-08-25,14.470000,14.775000,14.250000,14.460000,14.460000,3003200
2023-08-28,14.670000,14.965000,14.650000,14.870000,14.870000,3683600
2023-08-29,14.880000,15.880000,14.770000,15.450000,15.450000,4202000
2023-08-30,15.480000,15.640000,14.960000,15.150000,15.150000,2783900
2023-08-31,15.210000,15.530000,14.980000,14.990000,14.990000,1931100
2023-09-01,15.240000,15.438000,15.040000,15.160000,15.160000,2103100
2023-09-05,15.020000,15.325000,14.970000,15.100000,15.100000,2472100
2023-09-06,15.300000,15.400000,15.050000,15.100000,15.100000,2885200
2023-09-07,14.780000,15.075000,14.505000,15.050000,15.050000,2204800
2023-09-08,14.970000,15.100000,14.580000,14.710000,14.710000,2543300
2023-09-11,14.920000,15.235000,14.600000,15.100000,15.100000,2584600
2023-09-12,14.950000,15.450000,14.830000,15.410000,15.410000,2400500
2023-09-13,15.420000,15.450000,14.950000,15.030000,15.030000,2306900
2023-09-14,15.270000,15.670000,15.200000,15.550000,15.550000,2897800
2023-09-15,15.480000,15.590000,14.960000,15.120000,15.120000,4657400
2023-09-18,15.000000,15.060000,14.460000,14.470000,14.470000,2605400
2023-09-19,14.260000,14.840000,14.240000,14.670000,14.670000,3695400
2023-09-20,14.890000,15.050000,14.365000,14.400000,14.400000,1890600
2023-09-21,14.080000,14.190000,13.770000,13.780000,13.780000,3427300
2023-09-22,13.840000,14.040000,13.560000,13.570000,13.570000,2665100
2023-09-25,13.710000,14.120000,13.600000,13.730000,13.730000,2632300
2023-09-26,13.500000,13.760000,13.320000,13.350000,13.350000,3242900
2023-09-27,13.600000,13.710000,13.280000,13.420000,13.420000,2751700
2023-09-28,13.470000,13.580000,13.070000,13.230000,13.230000,2699600
2023-09-29,13.470000,13.710000,13.110000,13.260000,13.260000,3206600
2023-10-02,13.170000,13.270000,11.970000,12.190000,12.190000,5556800
2023-10-03,12.010000,12.090000,11.420000,11.540000,11.540000,7093900
2023-10-04,11.570000,11.680000,10.970000,11.380000,11.380000,5383000
2023-10-05,11.180000,11.240000,10.675000,10.740000,10.740000,5031600
2023-10-06,10.560000,11.190000,10.525000,11.130000,11.130000,4836600
2023-10-09,10.740000,11.075000,10.450000,10.550000,10.550000,3828600
2023-10-10,10.650000,11.475000,10.550000,11.460000,11.460000,6369600
2023-10-11,11.840000,11.980000,11.550000,11.840000,11.840000,5923600
2023-10-12,11.840000,11.890000,11.310000,11.410000,11.410000,3690600
2023-10-13,11.450000,12.000000,11.250000,11.430000,11.430000,4035700
2023-10-16,11.650000,12.550000,11.540000,12.390000,12.390000,10597000
2023-10-17,12.050000,12.570000,11.815000,12.420000,12.420000,6081400
2023-10-18,12.190000,12.215000,11.899000,12.020000,12.020000,3607000
2023-10-19,12.010000,12.295000,11.830000,11.940000,11.940000,4699400
2023-10-20,11.700000,11.930000,11.250000,11.310000,11.310000,18671000
2023-10-23,11.100000,11.465000,10.865000,11.250000,11.250000,3808900
2023-10-24,11.500000,11.985000,11.400000,11.750000,11.750000,5282700
2023-10-25,11.600000,11.615000,11.215000,11.350000,11.350000,3931200
2023-10-26,11.430000,11.610000,10.530000,10.860000,10.860000,5416200
2023-10-27,10.820000,10.870000,9.680000,9.780000,9.780000,7264800
2023-10-30,10.030000,10.250000,9.510000,10.010000,10.010000,6205000
2023-10-31,10.010000,10.480000,9.990000,10.400000,10.400000,4131000
2023-11-01,10.310000,10.420000,9.860000,10.020000,10.020000,5129600
2023-11-02,10.260000,10.790000,10.260000,10.760000,10.760000,5127500
2023-11-03,11.270000,11.550000,10.790000,10.800000,10.800000,6412000
2023-11-06,10.910000,10.930000,9.955000,10.090000,10.090000,4493100
2023-11-07,10.000000,10.195000,9.670000,9.930000,9.930000,5233700
2023-11-08,9.950000,10.230000,9.600000,10.030000,10.030000,8862600
2023-11-09,11.540000,12.100000,10.815000,10.870000,10.870000,15489800
2023-11-10,10.520000,10.960000,9.968000,10.540000,10.540000,9709500
2023-11-13,10.480000,10.875000,10.390000,10.610000,10.610000,5120000
2023-11-14,11.340000,12.500000,11.260000,12.350000,12.350000,9418800
2023-11-15,12.540000,13.250000,12.400000,12.530000,12.530000,5818000
2023-11-16,12.350000,12.655000,12.190000,12.420000,12.420000,4085500
2023-11-17,12.670000,12.765000,12.225000,12.570000,12.570000,4909600
2023-11-20,12.570000,13.010000,12.360000,12.860000,12.860000,3052900
2023-11-21,12.700000,12.890000,12.285000,12.820000,12.820000,5293500
2023-11-22,12.970000,13.160000,12.650000,13.120000,13.120000,3698100
2023-11-24,13.150000,13.290000,13.050000,13.210000,13.210000,1539400
2023-11-27,13.270000,13.330000,12.890000,13.010000,13.010000,4083800
2023-11-28,12.910000,13.660000,12.700000,13.550000,13.550000,4410100
2023-11-29,13.880000,14.615000,13.820000,14.310000,14.310000,5008700
2023-11-30,14.410000,14.890000,14.040000,14.440000,14.440000,5137300
2023-12-01,14.320000,15.400000,14.100000,15.380000,15.380000,4842800
2023-12-04,15.310000,15.730000,15.240000,15.520000,15.520000,4150700
2023-12-05,15.270000,15.270000,14.700000,14.910000,14.910000,4029500
2023-12-06,15.080000,15.230000,14.000000,14.210000,14.210000,7358600
2023-12-07,14.140000,14.239000,13.580000,13.880000,13.880000,5435700
2023-12-08,13.790000,14.130000,13.610000,13.910000,13.910000,4090700
2023-12-11,13.790000,13.995000,13.360000,13.510000,13.510000,4694700
2023-12-12,13.330000,13.330000,12.675000,12.870000,12.870000,5861600
2023-12-13,12.760000,13.840000,12.615000,13.560000,13.560000,5829000
2023-12-14,14.020000,15.240000,14.020000,14.410000,14.410000,10373000
2023-12-15,14.580000,14.750000,13.910000,14.200000,14.200000,7957500
2023-12-18,14.010000,14.308000,13.665000,13.720000,13.720000,4313500
2023-12-19,13.870000,14.370000,13.700000,14.310000,14.310000,4930700
2023-12-20,14.190000,14.630000,13.790000,13.840000,13.840000,4134800
2023-12-21,14.230000,14.790000,14.020000,14.760000,14.760000,3776500
2023-12-22,14.405000,14.980000,14.380000,14.880000,14.880000,3710300
2023-12-26,14.980000,15.160000,14.740000,15.090000,15.090000,2725400
2023-12-27,15.190000,15.325000,15.000000,15.250000,15.250000,2595100
2023-12-28,15.140000,15.390000,15.050000,15.230000,15.230000,1992400
2023-12-29,15.200000,15.200000,14.655000,14.800000,14.800000,2530100
2024-01-02,14.500000,15.268000,14.390000,14.760000,14.760000,3145900
2024-01-03,14.360000,14.370000,13.750000,14.020000,14.020000,3649600
2024-01-04,13.950000,14.210000,13.850000,13.910000,13.910000,2075100
